,Month,Young_rabbit,One_month_rabbit,Adult_rabbit,Total_rabbit
0,1,1,0,0,0.0
1,2,0,1,0,1.0
2,3,5,0,1,6.0
3,4,5,5,1,11.0
4,5,30,5,6,41.0
5,6,55,30,11,96.0
6,7,205,55,41,301.0
7,8,480,205,96,781.0
8,9,1505,480,301,2286.0
9,10,3905,1505,781,6191.0
10,11,11430,3905,2286,17621.0
11,12,30955,11430,6191,48576.0
12,13,88105,30955,17621,136681.0
13,14,242880,88105,48576,379561.0
14,15,683405,242880,136681,1062966.0
15,16,1897805,683405,379561,2960771.0
16,17,5314830,1897805,1062966,8275601.0
17,18,14803855,5314830,2960771,23079456.0
18,19,41378005,14803855,8275601,64457461.0
19,20,115397280,41378005,23079456,179854741.0
20,21,322287305,115397280,64457461,502142046.0
21,22,899273705,322287305,179854741,1401415751.0
22,23,2510710230,899273705,502142046,3912125981.0
23,24,7007078755,2510710230,1401415751,10919204736.0
24,25,19560629905,7007078755,3912125981,30479834641.0
25,26,54596023680,19560629905,10919204736,85075858321.0
26,27,152399173205,54596023680,30479834641,237475031526.0
27,28,425379291605,152399173205,85075858321,662854323131.0
28,29,1187375157630,425379291605,237475031526,1850229480761.0
29,30,3314271615655,1187375157630,662854323131,5164501096416.0
30,31,9251147403805,3314271615655,1850229480761,14415648500221.0
31,32,25822505482080,9251147403805,5164501096416,40238153982301.0
32,33,72078242501105,25822505482080,14415648500221,112316396483406.0
